fight_id,rd_a,rd_b
8b07bdaa0402bf2b,207.32,167.79
5ed402ad08d9d4f9,350.00,350.00
14b61d9b3f6ddd37,350.00,350.00
7c7177a028d55964,273.83,290.35
eb5fd91dd3d937db,350.00,256.42
d40bfa821f2fe46a,178.60,350.00
2de0acc04cba91d3,282.57,350.00
cd6070783f11619b,150.76,200.65
c151729e47d9122b,190.67,182.40
ec916b9f67175633,115.86,158.51
16dcd55681f990c0,350.00,350.00
38231925d72d1309,298.00,290.37
9a6b4829863eb9dc,350.00,350.00
67a3b8dc3c0c3e45,350.00,350.00
cd9f95344fe14e37,350.00,167.89
87c07416af211de1,211.60,236.40
28a8c644c87ce45e,235.56,350.00
07c3ec83596e9798,204.64,173.37
b4a2fc934d4660ff,119.30,141.68
afda8492a55f1c5d,290.49,286.97
ebfdeab96ca766be,208.64,262.61
963631fe3261f8e1,290.37,290.37
2e6c21d6bad88346,232.99,350.00
fee1d48d7bc17e56,253.20,290.35
724dd26b47b7349e,290.37,350.00
27cdd152218b44d4,350.00,290.37
2e5a301f042f1fd6,290.37,350.00
2cbba9394114edb5,107.20,126.24
7455cb1ee651f774,271.98,350.00
a2e2d0e8b94d8eba,350.00,350.00
b23c7d4fb2068989,290.34,290.38
94c1844d487490ef,215.80,350.00
95f052cbeb1d5e65,350.00,250.26
1ef09b1bf60f23cb,222.17,350.00
e30ee434b864e4ac,160.20,209.77
84efac79989f4d0a,284.09,167.77
f8e3b306cf3e6d95,290.36,350.00
cf1f2322c4b8bc64,277.85,248.97
36895d9bbf5abc51,281.74,226.05
4cd909fa0d3e0483,195.07,290.90
b34aa3946ccfcfbb,188.51,258.01
c0e8b02fd4a5e56c,189.84,271.73
c00a49eadfb592f0,206.73,240.39
71900a1af85710a9,154.71,169.48
f743abae6896c1e8,290.37,350.00
719dbfab71e6c0bd,215.44,350.00
3f7bf047b310943d,350.00,350.00
b03109dd04b2fa60,142.39,350.00
e3d9bbea4c51dec4,212.26,350.00
ba0a3a4b80418db9,223.42,146.78
cb17062bfd400fb2,350.00,235.77
2f379b530fefb7ea,145.78,179.28
148f5128a45e9212,151.85,114.68
8d3c5635cffe12cb,350.00,350.00
abf6ea197979e634,290.54,350.00
e52eae4ea46c6010,249.17,180.59
77a8a6e2c3a09d19,290.37,230.98
4faa30eab9089d71,290.37,350.00
a5155aef1093048b,253.45,184.98
844fc95da48937b3,156.30,190.38
0d2314d23dee3796,172.75,350.00
bc0155d267fb5892,184.36,152.96
56f77263c75392f2,284.33,271.04
343b016754852c36,248.17,260.58
2606c3853a8c0b62,254.55,287.35
cc02aaf53503d022,190.65,213.03
da666b02372a465b,290.42,275.94
5027a869467001d3,134.02,223.08
3825f998c01cbeab,283.44,170.64
bb007be9f60ab3da,203.82,175.33
f507b715628d7bcb,112.96,103.80
14df6d96c5f2d1df,233.86,290.43
9c9039f921aa86ca,177.99,290.37
221928c8441779e4,254.67,283.46
539a550c0c1acd3e,195.82,350.00
7253daded133e97c,238.01,251.43
17b2d89ceb879a29,170.64,202.30
830e59a396dddec3,256.42,350.00
88d9e7ec7f228908,191.80,350.00
d6e35b8c66732da6,273.07,350.00
77df989840c76a08,350.00,205.79
063599b1d4107289,350.00,290.39
c742bd1673635ded,261.28,175.61
f0b7729fba7e4533,209.64,244.44
c1df212ba092c404,350.00,256.98
5d06b45564f62c80,290.39,350.00
ca5b6d6a26891f4b,350.00,290.39
33065e87a42a74a2,252.61,187.94
85e130a7c48f25f6,278.10,350.00
808d47f905e84e7e,272.38,290.40
94df6c8cd2256f54,210.80,216.65
8afc674a60abab61,256.47,350.00
8ca1bb1b2517f2e5,207.99,149.82
204932945d332406,111.04,157.04
3404f9095676a556,161.94,232.07
0653b6227894cfd7,256.44,272.61
7401d0f8ededa102,106.20,139.83
e89db3b111f92587,350.00,350.00
460b421493dd9fb8,350.00,210.61
6d370bfe4248dc88,302.23,251.44
b15bebf4c6b6f495,242.70,350.00
73ed365b57dc1a6e,171.51,283.49
de2b0b8ef112f3b7,238.56,287.03
b2443846570bee7b,185.07,276.48
