event_date,event,fight_id,fighter,rule,live,units,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl,pnl_at_open
2013-04-27,UFC 159: Jones vs Sonnen,c29850ed8d9d1073,Phil Davis,GAP,0,1,158.37,235.35,1,0.8,0.2667,-300,,-285,1.56,WIN,U-DEC,3,0.3333,0.3333
2013-04-27,UFC 159: Jones vs Sonnen,04e6a26fe2a4017d,Cheick Kongo,FLIP,0,1,111.06,141.9,1,1.0,-1.0,170,,208,-3.12,LOSS,KO/TKO,1,-1.0,-1.0
2013-05-18,UFC on FX: Belfort vs. Rockhold,8aff100107d0ba11,Azamat Gashimov,FLIP,0,1,273.41,246.53,0,0.0,-0.0,150,,-122,15.43,LOSS,KO/TKO,2,-1.0,-1.0
2013-05-18,UFC on FX: Belfort vs. Rockhold,4b4c4df2778538d9,Paulo Thiago,GAP,0,1,139.98,350.0,1,0.93,0.4429,-210,,-195,0.73,WIN,U-DEC,3,0.4762,0.4762
2013-05-18,UFC on FX: Belfort vs. Rockhold,ac269f99e4e53634,Chris Camozzi,FLIP,0,1,147.18,350.0,0,0.0,-0.0,425,,463,-0.73,LOSS,SUB,1,-1.0,-1.0
2013-06-08,UFC on FUEL TV: Nogueira vs. Werdum,2692ac9853970e08,Thiago Silva,FLIP,0,1,143.41,350.0,1,0.9,0.99,110,,183,-10.04,WIN,KO/TKO,1,1.1,1.1
2013-06-08,UFC on FUEL TV: Nogueira vs. Werdum,bd9100f5d4ee6823,William Macario,FLIP,0,1,350.0,350.0,0,0.0,-0.0,185,,135,8.6,LOSS,SUB,2,-1.0,-1.0
2013-06-15,UFC 161: Evans vs Henderson,43d1693f0198a93e,Tyron Woodley,GAP,0,1,280.96,193.97,0,0.0,-0.0,-170,,-212,6.64,LOSS,S-DEC,3,-1.0,-1.0
2013-06-15,UFC 161: Evans vs Henderson,27ff1bfeb2d50b38,Shawn Jordan,FLIP,0,1,204.31,131.7,1,0.5,0.675,135,,-110,10.15,WIN,KO/TKO,1,1.35,1.35
2013-06-15,UFC 161: Evans vs Henderson,a4daf2f24acdcd43,Stipe Miocic,FLIP,0,1,188.56,133.18,1,0.58,1.044,180,,230,-3.79,WIN,U-DEC,3,1.8,1.8
2013-08-03,UFC 163: Aldo vs Jung,3846db1456151f80,Neil Magny,FLIP,0,1,290.4,254.78,0,0.0,-0.0,170,,143,5.2,LOSS,SUB,1,-1.0,-1.0
2013-08-03,UFC 163: Aldo vs Jung,168413032bb51ce0,Sheila Gaff,FLIP,0,1,290.37,350.0,0,0.0,-0.0,180,,183,1.23,LOSS,KO/TKO,1,-1.0,-1.0
2013-08-17,UFC Fight Night: Shogun vs Sonnen,f12126b5c49a318a,Ramsey Nijem,GAP,0,1,185.64,350.0,0,0.0,-0.0,-210,,-195,0.13,LOSS,SUB,1,-1.0,-1.0
2013-08-17,UFC Fight Night: Shogun vs Sonnen,0f74449bf6f64616,Cole Miller,GAP,0,1,123.99,147.45,1,1.0,-1.0,-130,,125,-9.01,LOSS,U-DEC,3,-1.0,-1.0
2013-08-17,UFC Fight Night: Shogun vs Sonnen,05dce98da0acefd8,Steven Siler,FLIP,0,1,181.51,194.53,0,0.0,0.0,150,,185,-3.96,WIN,KO/TKO,1,1.5,1.5
2013-08-17,UFC Fight Night: Shogun vs Sonnen,8e41d022b55277ae,Michael McDonald,GAP,0,1,179.89,173.2,0,0.0,0.0,-215,,-310,9.01,WIN,SUB,2,0.4651,0.4651
2013-08-31,UFC 164: Henderson vs Pettis 2,b4555cd5b5d2a53f,Nikita Krylov,GAP,0,1,350.0,275.57,0,0.0,-0.0,-140,,-135,1.41,LOSS,KO/TKO,3,-1.0,-1.0
2013-08-31,UFC 164: Henderson vs Pettis 2,336670b46f343d65,Tim Elliott,GAP,0,1,245.43,256.68,0,0.0,0.0,-160,,-235,10.27,WIN,U-DEC,3,0.625,0.625
2013-08-31,UFC 164: Henderson vs Pettis 2,aac887ea8a83d7a4,Frank Mir,FLIP,0,1,102.49,195.92,1,1.0,-1.0,170,,161,2.6,LOSS,KO/TKO,1,-1.0,-1.0
2013-09-04,UFC Fight Night: Teixeira vs Bader,9166d2f99369c06b,Yushin Okami,FLIP,0,1,110.46,267.33,1,1.0,-1.0,160,,203,-4.28,LOSS,KO/TKO,1,-1.0,-1.0
2013-09-21,UFC 165: Jones vs Gustafsson,a95be3943ea0f691,Stephen Thompson,GAP,0,1,208.34,281.97,0,0.0,0.0,-280,,-427,9.74,WIN,KO/TKO,2,0.3571,0.3571
2013-09-21,UFC 165: Jones vs Gustafsson,ca2b48fd007126e0,Khabib Nurmagomedov,GAP,0,1,182.89,290.39,0,0.0,0.0,-260,,-270,3.75,WIN,U-DEC,3,0.3846,0.3846
2013-10-09,UFC Fight Night: Maia vs Shields,3a8baa48c9b30d47,Chris Cariaso,FLIP,0,1,164.47,229.91,0,0.0,0.0,120,,140,-2.05,WIN,KO/TKO,2,1.2,1.2
2013-10-09,UFC Fight Night: Maia vs Shields,3e610c7a2ab31acd,David Mitchell,FLIP,0,1,207.26,350.0,0,0.0,-0.0,180,,265,-6.6,LOSS,U-DEC,3,-1.0,-1.0
2013-10-09,UFC Fight Night: Maia vs Shields,3fc3179cd800128e,Dong Hyun Kim,FLIP,0,1,128.53,181.56,1,1.0,1.35,135,,155,-1.94,WIN,KO/TKO,2,1.35,1.35
