slug,event_title,event_date,mu,fighter1,fighter2,f1_open,f1_close,f2_open,f2_close,f1_ticks,f2_ticks,t_open,t_close
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28221,Alonzo Menifield,Misha Cirkunov,1.625,1.48309,2.4,2.7,52,52,1663795811000,1665875289000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28164,Brandon Davis,Mana Martinez,1.90909,2.32,1.90909,1.63291,153,153,1663795811000,1665873130000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28454,Jacob Malkoun,Nick Maximov,2.2,2.13,1.71429,1.72993,113,113,1663795812000,1665871451000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28888,Joanderson Brito,Lucas Alexander.,1.37037,1.24752,3.3,4.14,45,45,1665527417000,1665869909000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,27946,Piera Rodriguez,Sam Hughes,1.43478,1.57471,2.9,2.45,321,321,1663795811000,1665867748000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28250,C.J. Vergara,Tatsuro Taira,3.3,3.19,1.37037,1.36496,75,75,1663795811000,1665866326000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28669,Mike Jackson,Pete Rodriguez,4.0,6.04,1.25,1.13947,55,55,1663795812000,1665864975000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,26508,Arnold Allen,Calvin Kattar,2.5,1.81301,1.57143,2.02,158,158,1647744485000,1667092568000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28667,Max Griffin,Tim Means,1.66667,1.52083,2.3,2.59,67,67,1664814619000,1667090176000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28068,Jared Vanderaa,Waldo Cortes-Acosta,1.66667,2.8,2.3,1.45662,80,80,1664814619000,1667088030000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28783,Josh Fremd,Tresean Gore,1.45455,1.61728,2.85,2.36,103,103,1664814619000,1667087187000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28663,Dustin Jacoby,Khalil Rountree Jr.,1.54054,1.55249,2.6,2.5,87,87,1664814619000,1667085029000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28786,Phillip Hawes,Roman Dolidze,2.15,1.55556,1.74074,2.49,77,77,1665339487000,1667083096000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28785,Andrei Arlovski,Marcos Rogerio,2.11,3.07,1.76336,1.38911,144,144,1665324247000,1667081291000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28666,Christian Rodriguez,Garrett Armfield,1.5,1.44444,2.65,2.9,3,3,1665709006000,1666540464000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28782,Cody Durden,Kleydson Rodrigues,2.65,2.45,1.5,1.57143,2,2,1665709006000,1666035505000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28784,Joseph Holmes,Jun Yong Park,2.95,2.8,1.43478,1.45045,71,71,1664814725000,1667079380000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,28664,Chase Hooper,Steve Garcia,1.54348,1.30211,2.59,3.61,95,95,1664814619000,1667077573000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,29014,Carlos Mota,Cody Durden,2.25,1.60606,1.68966,2.37,49,49,1666642569000,1667076045000
ufc-fight-night-213-2606,UFC Fight Night 213 for October 29 | Best Fight Odds,2022-10-29,29033,Christian Rodriguez,Joshua Weems,1.625,1.23981,2.4,4.21,45,45,1666740854000,1667074509000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28896,Kevin Holland,Stephen Thompson,1.90909,1.53763,1.90909,2.54,158,158,1665518297000,1670133374000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28746,Bryan Barberena,Rafael Dos Anjos,3.75,4.51,1.30769,1.21739,135,135,1667766727000,1670131470000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28902,Matheus Nicolau,Matt Schnell,1.44444,1.25253,2.9,4.04,98,98,1667766727000,1670129658000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28894,Sergei Pavlovich,Tai Tuivasa,1.86957,1.52083,1.95238,2.6,133,133,1667766727000,1670128728000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,29385,Jack Hermansson,Roman Dolidze,1.66667,1.46296,2.3,2.77,153,153,1669167849000,1670126651000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28162,Eryk Anders,Kyle Daukaus,2.9,2.91,1.44444,1.42735,73,73,1667766852000,1670124996000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28901,Niko Price,Phil Rowe,1.74074,1.8547,2.15,1.95238,127,127,1667766854000,1670123551000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28357,Angela Hill,Emily Ducote,2.0,2.18,1.83333,1.70423,99,99,1667766854000,1670121494000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28359,Clay Guida,Scott Holtzman,2.75,2.76,1.4878,1.46948,134,134,1667766854000,1670120067000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,29210,Marc Diakiese,Michael Johnson,1.625,1.26954,2.4,3.85,104,104,1667766854000,1670118388000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28552,Darren Elkins,Jonathan Pearce,3.5,4.93,1.33333,1.18797,84,84,1667766855000,1670116712000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28231,Genaro Valdez,Nathan Levy,2.4,2.86,1.625,1.44444,78,78,1667766855000,1670114907000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28230,Francis Marshall,Marcelo Rojo,1.90909,1.5848,1.90909,2.43,96,96,1669036567000,1670113235000
ufc-fight-night-214-2607,UFC Fight Night 214 for December 3 | Best Fight Odds,2022-12-03,28831,Istela Nunes,Yazmin Jauregui,3.05,3.74,1.41667,1.28571,104,104,1667766856000,1670112149000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,27911,Amanda Lemos,Marina Rodriguez,2.3,2.95,1.62112,1.41841,69,69,1660569768000,1667696286000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28678,Daniel Rodriguez,Neil Magny,2.05,1.96154,1.8,1.8547,59,59,1665189978000,1667694247000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28802,Chase Sherman,Josh Parisian,1.9009,1.71942,1.9009,2.15,48,48,1666690247000,1667683223000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28688,Darrick Minner,Shayilan Nuerdanbieke,2.7,3.88,1.5,1.27174,102,102,1666381938000,1667692818000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28548,Nate Maness,Tagir Ulanbekov,2.55,2.96,1.55556,1.41322,91,91,1666381938000,1667691608000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28992,Grant Dawson,Mark O. Madsen,1.66667,1.45045,2.3,2.79,75,75,1666380616000,1667690065000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28328,Miranda Maverick,Shanna Young,1.33333,1.12092,3.5,6.72,78,78,1666381938000,1667687661000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28063,Benito Lopez,Mario Bautista,3.2,3.95,1.38462,1.26596,103,103,1666381938000,1667685730000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28201,Jinh Yu Frey,Polyana Viana,2.2,2.18,1.71429,1.70423,109,109,1666381938000,1667684293000
ufc-fight-night-214ting-championship-2612,UFC Fight Night 214ting Championship for November 5 | Best Fight Odds,2022-11-05,28176,Johnny Munoz Jr.,Liudvik Sholinian,1.5,1.3876,2.7,3.08,71,71,1666381938000,1667681409000
